sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and impossible scene of a frog floating above a tank. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence shows that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and there are cryptocurrency tokens named 'Ribbit', but there is no evidence of a real-world military project named 'Ribbit Thunder' associated with declassified imagery. The combination of an AI-generated image with a fabricated military context constitutes misinformation."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not Paris, Texas."
ds2700,Not Misinformation,0.85,False,True,"The image depicts a scaled quail standing on one leg, which is a documented behavior for this species (Evidence [3] in the retrieved set confirms observations of scaled quails standing on one leg). The headline mentions a raisin and a peanut. While the retrieved evidence does not explicitly confirm the presence of these specific items in the image, it establishes that scaled quails are omnivores that eat seeds, grains, and berries (Evidence [1], [3] in the 'What do scaled quails eat?' section). Raisins (dried grapes) and peanuts (legumes/seeds) are plausible food items for a quail in a captive or feeding context. The module signals indicate the image is not AI-generated (visual_veracity ai_generated=false). The partial alignment noted by the module is due to the difficulty of verifying sma"
ds4880,Not Misinformation,0.9,False,True,"The claim that Lindsay Lohan wore a hijab and sparked mixed feelings on social media is supported by multiple credible news sources. Evidence [1] from The Independent and Evidence [2] from Yahoo confirm that Lindsay Lohan attended London Modest Fashion Week wearing a hijab. Furthermore, Evidence [4] from SheThePeople and Evidence [1] from AOL explicitly state that her appearance 'sparked a lot of praise and of course, a lot of criticism on social media,' directly validating the 'mixed feelings' aspect of the headline. The image, while not definitively identified as her in the module signals, depicts a woman in a hijab consistent with the reported event, and there is no evidence of AI generation."
ds8852,Not Misinformation,0.65,False,True,"The image shows three teddy bears against a stone wall, which appears to be an outdoor or natural setting rather than a bedroom wall. The claim specifies 'a bedroom wall' and includes a 'stuffed cat', neither of which are present in the image. However, the visual veracity module indicates the image is not AI-generated (real photo). The discrepancy lies in the specific details of the claim (location and presence of a cat) versus the image content. Since the image is real and depicts teddy bears (aligning partially with the subject), but the context (bedroom) and object (cat) are missing, it is not a case of AI-generated misinformation. It is more accurately described as a mismatched caption or a partial alignment. Given the strict rule to output Misinformation only if AI-generated, and the "
7551,Not Misinformation,0.9,False,True,"The claim is supported by direct evidence from BBC News, which explicitly states that 'Snow has fallen across parts of the UK, such as Kielder Water, in Northumberland, and more is predicted over the weekend' [5]. This confirms both the location (Kielder Water) and the event (snowfall with further predictions). The image shows a snowy landscape consistent with the claim, and visual veracity checks indicate it is not AI-generated. While the specific date of the image is not confirmed, the factual assertion in the headline is verified by the retrieved sources."
365,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). The visual evidence shows gorillas with unnatural, exaggerated features and expressions that do not correspond to real footage of the Kwita Izina ceremony or typical mascot performances. While the event (Kwita Izina) and the general concept of entertainment at such events are real, the specific image provided is synthetic and does not depict a real moment from the ceremony. According to the definitive rule, if the image is AI-generated, the output must be Misinformation."
ds4717,Not Misinformation,0.85,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. Retrieved evidence confirms that during her pregnancy with Tristan Thompson (which occurred around 2017-2018), Tristan Thompson did intervene in her diet, reportedly telling her he 'won't stand for unhealthy habits' and putting her on a strict diet [1, 2, 5]. While the specific trigger event of a 'cookies and ice cream binge' is not explicitly detailed in the snippets as the sole cause, the core claim that Tristan enforced a strict diet on Khloe during her pregnancy is supported by multiple sources [1, 2, 5]. The module signals indicate the image is not AI-generated and is relevant (though the specific image content isn't described, the text alignment is strong). The cl"
4718,Not Misinformation,0.85,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which culminated in a breakup and cancellation of their engagement in March 2021 (Evidence [2], [5] from retrieved set). While the relationship has since ended permanently, the statement that she 'might take a break' is factually grounded in the history of their relationship dynamics, specifically the period leading up to their split. The module signals also confirm the image is not AI-generated and aligns with the subject. The headline is likely a clickbait-style reference to their past relationship status or a re-contextualization of their history, but it does not constitute misinformation as the core event (t"
ds4306,Not Misinformation,0.95,False,True,"The headline accurately reflects statements made by Eric Trump in August 2016. Multiple credible news sources, including The Hill, The Wall Street Journal, The Guardian, and HuffPost, confirm that Eric Trump stated it would be 'foolish' for his father, Donald Trump, to release his tax returns while under audit, arguing that the public might make uninformed assumptions. The image depicts Eric Trump, consistent with the subject of the claim. The module signals correctly identify the alignment and veracity of the image and the factual basis of the quote."
ds1370,Not Misinformation,0.95,False,True,"The claim states that Kris and Bruce Jenner attended the Academy of Country Music Awards in Las Vegas. Multiple pieces of evidence confirm this event took place. Specifically, evidence [3] from Mirror Online and evidence [4] from Alamy explicitly state that Kris and Bruce Jenner attended the 44th Annual Academy of Country Music Awards held at the MGM Grand in Las Vegas in 2009. Evidence [3] from USA TODAY also corroborates this with a file photo from April 5, 2009. The image signals indicate the photo is not AI-generated and aligns with the event. Therefore, the claim is factually supported by the evidence."
