sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a high confidence level (0.9). The surreal combination of a tank and a floating frog does not align with any credible military project, particularly 'Project Ribbit Thunder', which is associated with a fictional character from a web series rather than a military context. Therefore, the claim that this is a recently declassified image from a military project is false."
3397,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a confidence level of 0.8, which meets the definitive rule for labeling as misinformation. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas, is false; it is owned and operated by Caesars Entertainment, as supported by multiple sources."
ds2700,Not Misinformation,0.9,False,True,"The image depicts a scaled quail standing on one leg, which is consistent with the claim. The visual veracity indicates that the image is not AI-generated, and the behavior of standing on one leg is supported by evidence from field observations. Although the claim mentions a raisin and a peanut, the primary subject of the image aligns well with the claim about the scaled quail."
ds4880,Not Misinformation,0.9,False,True,"The image shows a woman wearing a hijab, which aligns with the claim about Lindsay Lohan. The evidence confirms that Lindsay Lohan did wear a hijab at the London Modest Fashion Week, and there are mixed reactions on social media regarding her appearance. The visual veracity indicates that the image is not AI-generated, further supporting the authenticity of the claim."
ds8852,Not Misinformation,0.6,False,True,"The image shows three teddy bears, which aligns with part of the claim. However, there is no evidence confirming the presence of a stuffed cat or that the setting is a bedroom wall. The visual veracity indicates that the image is not AI-generated, which supports the claim's authenticity. The relevancy score suggests partial alignment, indicating that while the claim is not fully accurate, it is not entirely false either."
7551,Not Misinformation,0.9,False,True,"The image depicts a snowy landscape, which aligns with the claim about snow in the UK, specifically in Kielder Water, Northumberland. The visual veracity indicates that the image is not AI-generated, and the evidence supports that snow has indeed fallen in Kielder Water and that more is predicted over the weekend. The sources confirm snowfall in northern England, including Kielder Water, and the weather forecast indicates potential for more snow."
365,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a confidence level of 0.8, which directly leads to the classification of the content as misinformation, regardless of the alignment of the image with the headline."
ds4717,Not Misinformation,0.9,False,True,"The image is not AI-generated and appears to be a genuine photograph. The evidence supports the claim that Khloe Kardashian has been influenced by Tristan Thompson regarding her pregnancy diet, particularly after indulging in junk food. Multiple sources confirm that she has followed a strict diet during her pregnancy, which aligns with the headline."
4718,Not Misinformation,0.9,False,True,"The image is confirmed to be a genuine photograph, and the headline discusses a past event regarding Jennifer Lopez and Alex Rodriguez's relationship. The evidence supports that they did take a break, which aligns with the claim. The signals indicate a strong relevance to the subject matter, and the visual veracity is confirmed as not AI-generated."
ds4306,Not Misinformation,0.9,False,True,"The image depicts Eric Trump, who is the subject of the headline discussing his father's tax returns. The claim that Eric Trump stated it would be 'foolish' for his father to release tax returns is supported by multiple reliable sources, confirming his statement and the context in which it was made. Additionally, the visual veracity check indicates that the image is not AI-generated, further supporting the authenticity of the claim."
ds1370,Not Misinformation,0.9,False,True,"The image depicts Kris and Bruce Jenner at an event that is confirmed to be the Academy of Country Music Awards held in Las Vegas. The evidence supports that they attended the 44th Annual ACM Awards in 2009, aligning perfectly with the claim. Additionally, the image is not AI-generated, further supporting its authenticity."
ds2101,Not Misinformation,0.9,False,True,"The image accurately depicts a table with two wine glasses and a centerpiece, which aligns perfectly with the claim. Additionally, the visual veracity indicates that the image is not AI-generated, further supporting its authenticity."
5000,Not Misinformation,0.9,False,True,"The image is a genuine photograph of Barack and Michelle Obama, and there is no evidence to suggest it is AI-generated. The claim about Obama admitting to a secret deal with China to hand over U.S. territory is not supported by the evidence. While Obama did engage in diplomatic dealings with China, there is no credible information indicating that he made a deal to hand over U.S. territory or that such a deal exists. The evidence indicates ongoing economic tensions and trade enforcement actions rather than any formal debt settlement or territorial handover."
ds4724,Not Misinformation,0.9,False,True,"The image shows George and Amal Clooney together, which contradicts the claim that they are sleeping in separate bedrooms. While there are rumors about their relationship, the evidence suggests that they are still together and adapting to each other's habits. The specific claim about separate sleeping arrangements is not supported by credible sources, indicating that it is likely a misunderstanding."
ds6329,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a high confidence level (0.9). It depicts an impossible scenario of a man inside a shark, which is not only unrealistic but also indicates that the image does not represent real events or characters from the films mentioned in the headline. Additionally, the headline references 'What's Eating Gilbert Grape' and 'Arnie vs Sharkasaurus', neither of which have any credible connection to the content of the image."
ds1157,Not Misinformation,0.6,False,True,"The image shows a banner related to the pope, which aligns with the claim about a person holding a banner during the pope's procession. However, while the image suggests a connection to the event, it does not definitively confirm the specific action described in the headline. The visual veracity indicates that the image is genuine and not AI-generated, which supports the claim's authenticity."
5013,Not Misinformation,0.9,False,True,"The image is confirmed to be a genuine photograph and not AI-generated. The headline discusses Brooke Burke's dating life and divorce, which aligns with the retrieved evidence indicating her engagement to Scott Rigsby and the context of her divorce from David Charvet. The image does not depict Brooke Burke directly, but it does not contradict the claims made in the headline."
3983,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a confidence level of 0.8, which directly leads to the classification of this claim as misinformation. Additionally, the claim itself is misleading as it states that 'A Good Day to Die Hard' was directed by John Moore in 2008, while the film was actually released in 2013. The visual content does not support the claim and further indicates manipulation."
ds9980,Not Misinformation,0.9,False,True,"The image depicts a genuine scene of a child smiling, which aligns with the claim about an Iraqi girl. The visual veracity assessment confirms that the image is not AI-generated. Additionally, the retrieved evidence supports the context of families settling near Kurdish checkpoints in northern Iraq, indicating that the claim is plausible and aligns with the humanitarian situation in the region."
ds2354,Not Misinformation,0.9,False,True,"The image depicts a conventional airplane flying low against a cloudy sky, which aligns with the claim. The visual veracity indicates that the image is not AI-generated, and the evidence supports the occurrence of planes flying low due to various factors, including weather conditions. Therefore, the claim is substantiated."
ds9501,Misinformation,0.9,False,True,"The claim that Ford's reelection campaign was brilliant is misleading because Gerald Ford's 1976 presidential campaign was ultimately unsuccessful, as he lost to Jimmy Carter. The evidence clearly indicates that Ford faced significant challenges during his campaign, including public cynicism and a tough primary battle. Therefore, the assertion of brilliance is not supported by the historical context."
ds4,Not Misinformation,0.9,False,True,"The claim that Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper is supported by evidence indicating that after the January 2015 attack, the staff did indeed relocate to Liberation for a period before moving to a more permanent location. The image depicts a memorial site related to the attacks, which aligns with the context of the claim but does not directly confirm the relocation. However, the evidence confirms the relocation occurred, thus supporting the claim."
ds3871,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a high confidence level (0.8), which directly leads to the classification of the claim as misinformation. Additionally, the claim that Meghan Markle was born in July is false; she was actually born on August 4, 1981, as supported by multiple reliable sources."
8830,Not Misinformation,0.6,False,True,"The image does not depict an AI-generated clock, and the visual veracity indicates it is a real-world object. However, the headline claims the clock is hanging against a barn, which is not supported by the image context. The relevancy score is low, indicating a lack of meaningful connection to the headline, but the image itself is not misleading."
ds5053,Not Misinformation,0.9,False,True,"The claim that drinking green tea daily may increase lifespan is supported by multiple studies indicating potential health benefits, including reduced risk of cardiovascular disease and longevity. The image is relevant as it depicts tea leaves, aligning with the subject of green tea. There is no evidence suggesting that the image is AI-generated, and the visual veracity is confirmed as true."
ds2437,Misinformation,0.9,False,True,"The image does not depict an animal food tray or cage, but rather a disc golf basket, which is completely unrelated to the claim. The visual veracity indicates that the image is genuine, but the lack of relevancy to the claim leads to the conclusion that the claim is misleading."
ds6090,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a confidence of 0.8, which directly leads to the classification of the claim as misinformation. Despite the claim referencing a fun experience at Outside Lands, the festival did not occur in 2023, and the image does not provide verifiable evidence of the event."
ds742,Not Misinformation,0.9,False,True,"The image depicts a real protest scene with demonstrators holding a banner that reads 'WALL OFF TRUMP,' which aligns with the claim about demonstrators forming a barrier against Trump. While the specific location of Quicken Loans Arena is not confirmed in the evidence, the context of the protest aligns with the events that occurred during the Republican National Convention. The visual veracity indicates that the image is not AI-generated, further supporting its authenticity."
ds1754,Not Misinformation,0.9,False,True,"The image and headline accurately depict Benedict Cumberbatch portraying Julian Assange in the film 'The Fifth Estate.' The signals indicate a strong alignment with the claim, and the visual veracity confirms that the image is not AI-generated. The retrieved evidence supports the claim that Cumberbatch plays Assange in the film, further reinforcing the accuracy of the information."
4580,Not Misinformation,0.6,False,True,"The image is confirmed to be a genuine photograph, and there is no evidence that it is AI-generated. While the relevancy of the image to the claim is low, the evidence suggests that Kourtney Kardashian has collaborated with Kylie Jenner on beauty products, which could imply a preference. However, there is no explicit statement from Kourtney picking Kylie over Kim. Therefore, the claim lacks definitive support but is not outright misinformation."
ds50,Not Misinformation,0.9,False,True,"The image is confirmed to be a genuine photograph, and the evidence supports the claim that Rachael Drouet has not tracked down the owners of the decorations. The relevant sources confirm her ongoing efforts to locate the owners of the Christmas decorations stolen by her cat, Theo."
8392,Not Misinformation,0.9,False,True,"The image does not appear to be AI-generated and is a genuine photograph. The headline accurately reflects the allegations made by Oregon Attorney General Ellen Rosenblum against GNC regarding the sale of supplements containing synthetic chemicals. The evidence supports the claim that GNC was sued for selling products with illegal ingredients, specifically picamilon and BMPEA, which aligns with the headline."
ds7878,Not Misinformation,0.9,False,True,"The image shows individuals wading through flood water, which aligns with the context of a family in a flood situation. The evidence confirms that significant flooding has occurred in Harinagar, Satkhira, and that families are indeed affected by these floods. However, the image does not definitively identify the individuals as a Bangladeshi family or confirm their specific location as Harinagar. The visual veracity indicates that the image is not AI-generated, which supports the claim's authenticity."
ds4278,Misinformation,0.9,False,True,"The claim that Russian mansions seized by Obama were meant as illegal gifts to Sasha and Malia is false. The evidence indicates that the mansions were seized as part of sanctions against Russia for election interference, and there is no credible evidence to support the idea that they were gifts to the Obama daughters. Additionally, the image does not relate to the claim, further indicating a lack of connection."
ds6954,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a high confidence level (0.8). The surreal nature of the image, depicting a man in a suit floating in a cosmic background, does not relate to the claim about Prof Martin Hairer, an Austrian mathematician. Despite the claim being factually correct regarding Hairer's identity and affiliations, the AI-generated nature of the image overrides this, leading to a classification of misinformation."
ds3520,Misinformation,0.9,False,True,"The claim that Ice-T signed to Sire Records in 1987 when he was 18 years old is false. Ice-T was born on February 16, 1958, which means he was 29 years old when he signed with Sire Records in 1987. The evidence confirms that he signed with Sire Records and released his debut album 'Rhyme Pays' that same year, but his age at the time was not 18."
7044,Not Misinformation,0.9,False,True,"The image does not appear to be AI-generated, and there is substantial evidence confirming that Hillary Clinton has spoken at rallies in Columbus, Ohio. While the specific context of the image being from a rally in Columbus is not definitively confirmed, the overall claim aligns with historical events where Clinton has campaigned in that location. The visual veracity indicates that the image is genuine, and the relevancy score supports the claim's partial alignment with known facts."
ds9094,Misinformation,0.9,False,True,"The image is identified as AI-generated with a confidence of 0.8, which indicates manipulation or generation artifacts, such as nonsensical text. This directly leads to the conclusion that the claim is misinformation, regardless of the partial alignment of the image with the headline."
