sample_id,label,confidence,stats
9577,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds9027,Misinformation,0.8,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
7439,Misinformation,0.9,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds9980,Misinformation,0.8,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
8063,Misinformation,0.9,"{""removed"": 0, ""kept"": 40, ""dedup_rate"": 0.0}"
ds8721,Misinformation,0.8,"{""removed"": 1, ""kept"": 49, ""dedup_rate"": 0.02}"
ds9362,Misinformation,0.8,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds9253,Not Misinformation,0.8,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
8719,Misinformation,0.9,"{""removed"": 10, ""kept"": 50, ""dedup_rate"": 0.1667}"
ds9954,Misinformation,0.9,"{""removed"": 4, ""kept"": 26, ""dedup_rate"": 0.1333}"
9323,Misinformation,0.9,"{""removed"": 3, ""kept"": 27, ""dedup_rate"": 0.1}"
ds9049,Misinformation,0.8,"{""removed"": 1, ""kept"": 39, ""dedup_rate"": 0.025}"
7259,Not Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds8617,Misinformation,1.0,"{""removed"": 7, ""kept"": 83, ""dedup_rate"": 0.0778}"
ds9145,Misinformation,1.0,"{""removed"": 1, ""kept"": 79, ""dedup_rate"": 0.0125}"
ds9228,Not Misinformation,0.8,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds7291,Not Misinformation,0.8,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
9081,Misinformation,0.8,"{""removed"": 1, ""kept"": 49, ""dedup_rate"": 0.02}"
8155,Misinformation,0.9,"{""removed"": 7, ""kept"": 63, ""dedup_rate"": 0.1}"
ds9200,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds7131,Misinformation,0.8,"{""removed"": 3, ""kept"": 37, ""dedup_rate"": 0.075}"
8830,Misinformation,0.8,"{""removed"": 3, ""kept"": 27, ""dedup_rate"": 0.1}"
ds8684,Misinformation,0.9,"{""removed"": 3, ""kept"": 57, ""dedup_rate"": 0.05}"
ds8199,Misinformation,0.9,"{""removed"": 4, ""kept"": 26, ""dedup_rate"": 0.1333}"
7330,Misinformation,0.9,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
8341,Misinformation,0.8,"{""removed"": 3, ""kept"": 27, ""dedup_rate"": 0.1}"
7759,Misinformation,0.8,"{""removed"": 1, ""kept"": 49, ""dedup_rate"": 0.02}"
ds8815,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
7187,Not Misinformation,0.8,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
7469,Misinformation,0.9,"{""removed"": 3, ""kept"": 37, ""dedup_rate"": 0.075}"
ds4,Misinformation,0.8,"{""removed"": 5, ""kept"": 45, ""dedup_rate"": 0.1}"
ds2006,Not Misinformation,0.7,"{""removed"": 1, ""kept"": 49, ""dedup_rate"": 0.02}"
978,Misinformation,0.8,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds1564,Misinformation,0.9,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
ds1998,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds2506,Misinformation,0.9,"{""removed"": 1, ""kept"": 39, ""dedup_rate"": 0.025}"
ds2845,Misinformation,0.9,"{""removed"": 9, ""kept"": 51, ""dedup_rate"": 0.15}"
ds2311,Misinformation,0.9,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds1062,Misinformation,0.9,"{""removed"": 4, ""kept"": 36, ""dedup_rate"": 0.1}"
ds1099,Misinformation,0.9,"{""removed"": 1, ""kept"": 39, ""dedup_rate"": 0.025}"
2915,Misinformation,0.8,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds2354,Not Misinformation,0.8,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds2864,Misinformation,0.8,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
ds2437,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
2169,Not Misinformation,0.8,"{""removed"": 2, ""kept"": 38, ""dedup_rate"": 0.05}"
992,Not Misinformation,0.8,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds2926,Misinformation,0.9,"{""removed"": 2, ""kept"": 38, ""dedup_rate"": 0.05}"
2756,Misinformation,1.0,"{""removed"": 1, ""kept"": 49, ""dedup_rate"": 0.02}"
ds1157,Misinformation,0.9,"{""removed"": 11, ""kept"": 76, ""dedup_rate"": 0.1264}"
ds2594,Misinformation,0.9,"{""removed"": 1, ""kept"": 39, ""dedup_rate"": 0.025}"
1795,Not Misinformation,0.8,"{""removed"": 4, ""kept"": 26, ""dedup_rate"": 0.1333}"
ds1060,Misinformation,0.9,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
1436,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds994,Not Misinformation,0.9,"{""removed"": 6, ""kept"": 44, ""dedup_rate"": 0.12}"
ds1754,Not Misinformation,0.9,"{""removed"": 4, ""kept"": 26, ""dedup_rate"": 0.1333}"
2826,Not Misinformation,0.8,"{""removed"": 3, ""kept"": 37, ""dedup_rate"": 0.075}"
ds2101,Not Misinformation,0.9,"{""removed"": 4, ""kept"": 46, ""dedup_rate"": 0.08}"
ds451,Misinformation,0.9,"{""removed"": 5, ""kept"": 25, ""dedup_rate"": 0.1667}"
ds372,Misinformation,0.8,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds1829,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
4642,Misinformation,0.9,"{""removed"": 2, ""kept"": 38, ""dedup_rate"": 0.05}"
ds5647,Misinformation,0.9,"{""removed"": 1, ""kept"": 49, ""dedup_rate"": 0.02}"
ds3303,Misinformation,0.9,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds5053,Misinformation,0.8,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
5060,Misinformation,0.9,"{""removed"": 9, ""kept"": 61, ""dedup_rate"": 0.1286}"
5013,Misinformation,0.9,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
5939,Misinformation,0.9,"{""removed"": 3, ""kept"": 27, ""dedup_rate"": 0.1}"
5000,Misinformation,0.9,"{""removed"": 3, ""kept"": 37, ""dedup_rate"": 0.075}"
ds4278,Misinformation,0.9,"{""removed"": 5, ""kept"": 35, ""dedup_rate"": 0.125}"
4557,Not Misinformation,0.8,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds5161,Misinformation,0.9,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
ds4821,Misinformation,0.9,"{""removed"": 28, ""kept"": 42, ""dedup_rate"": 0.4}"
ds5714,Misinformation,0.9,"{""removed"": 4, ""kept"": 26, ""dedup_rate"": 0.1333}"
4284,Misinformation,0.8,"{""removed"": 5, ""kept"": 35, ""dedup_rate"": 0.125}"
ds5403,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
4718,Misinformation,0.9,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
5575,Misinformation,0.8,"{""removed"": 4, ""kept"": 36, ""dedup_rate"": 0.1}"
ds3839,Misinformation,1.0,"{""removed"": 4, ""kept"": 36, ""dedup_rate"": 0.1}"
4230,Misinformation,0.9,"{""removed"": 5, ""kept"": 55, ""dedup_rate"": 0.0833}"
ds3503,Misinformation,0.9,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
4960,Misinformation,0.9,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
5977,Misinformation,0.9,"{""removed"": 9, ""kept"": 21, ""dedup_rate"": 0.3}"
3980,Misinformation,0.9,"{""removed"": 5, ""kept"": 25, ""dedup_rate"": 0.1667}"
3397,Misinformation,1.0,"{""removed"": 13, ""kept"": 27, ""dedup_rate"": 0.325}"
ds4724,Misinformation,0.9,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
ds4939,Misinformation,0.8,"{""removed"": 0, ""kept"": 50, ""dedup_rate"": 0.0}"
ds5610,Misinformation,0.9,"{""removed"": 1, ""kept"": 29, ""dedup_rate"": 0.0333}"
3415,Misinformation,0.9,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
ds4064,Misinformation,0.9,"{""removed"": 3, ""kept"": 27, ""dedup_rate"": 0.1}"
ds4717,Misinformation,0.8,"{""removed"": 4, ""kept"": 56, ""dedup_rate"": 0.0667}"
ds6954,Misinformation,0.9,"{""removed"": 6, ""kept"": 24, ""dedup_rate"": 0.2}"
ds6291,Misinformation,1.0,"{""removed"": 6, ""kept"": 54, ""dedup_rate"": 0.1}"
ds6725,Misinformation,0.9,"{""removed"": 3, ""kept"": 26, ""dedup_rate"": 0.1034}"
ds6266,Misinformation,1.0,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds6031,Misinformation,1.0,"{""removed"": 5, ""kept"": 35, ""dedup_rate"": 0.125}"
6026,Misinformation,1.0,"{""removed"": 0, ""kept"": 30, ""dedup_rate"": 0.0}"
ds6940,Misinformation,0.9,"{""removed"": 2, ""kept"": 28, ""dedup_rate"": 0.0667}"
ds6481,Not Misinformation,0.9,"{""removed"": 5, ""kept"": 24, ""dedup_rate"": 0.1724}"
6119,Misinformation,1.0,"{""removed"": 8, ""kept"": 52, ""dedup_rate"": 0.1333}"
ds6549,Misinformation,1.0,"{""removed"": 4, ""kept"": 56, ""dedup_rate"": 0.0667}"
