FN,FP,TN,TP,accuracy,avg_confidence,bin_lower,bin_upper,brier_score,category,count,expected_calibration_error,f1,judge_confidence_samples,judge_label_distribution,judge_logprob_samples,missing_in_gt_map,name,precision,recall,recall_neg,recall_pos,samples,support,total_outputs,uncertain_count,uncertain_rate,visual_veracity_coverage_rate,visual_veracity_gt_known,visual_veracity_pred_covered
,,,,,,,,,summary,,,,12,"{'Misinformation': 8, 'Not Misinformation': 4}",0,0,counts,,,,,,,12,0,0.0,1.0,12,12
1,1,3,7,0.8333,,,,,metric,,,0.875,,,,,judge_overall,0.875,0.875,0.75,0.875,,12,,,,,,
1,0,0,2,0.6667,,,,,metric,,,0.8,,,,,judge_by_fake_cls_mismatch,1.0,0.6667,0.0,0.6667,,3,,,,,,
0,1,3,0,0.75,,,,,metric,,,0.0,,,,,judge_by_fake_cls_original,0.0,0.0,0.75,0.0,,4,,,,,,
0,0,0,4,1.0,,,,,metric,,,1.0,,,,,judge_by_fake_cls_textual_veracity_distortion,1.0,1.0,0.0,1.0,,4,,,,,,
0,0,0,1,1.0,,,,,metric,,,1.0,,,,,judge_by_fake_cls_visual_veracity_distortion,1.0,1.0,0.0,1.0,,1,,,,,,
0,0,8,4,1.0,,,,,metric,,,1.0,,,,,visual_veracity_filtered,1.0,1.0,1.0,1.0,,12,,,,,,
0,0,8,4,1.0,,,,,metric,,,1.0,,,,,visual_veracity_all,1.0,1.0,1.0,1.0,,12,,,,,,
,,,,,,,,0.132917,calibration_summary,,0.05,,,,,,judge_confidence,,,,,12,,,,,,,
,,,,,,0.0,0.1,,calibration_bin,0,,,,,,,bin_0,,,,,,,,,,,,
,,,,,,0.1,0.2,,calibration_bin,0,,,,,,,bin_1,,,,,,,,,,,,
,,,,,,0.2,0.3,,calibration_bin,0,,,,,,,bin_2,,,,,,,,,,,,
,,,,,,0.3,0.4,,calibration_bin,0,,,,,,,bin_3,,,,,,,,,,,,
,,,,,,0.4,0.5,,calibration_bin,0,,,,,,,bin_4,,,,,,,,,,,,
,,,,,,0.5,0.6,,calibration_bin,0,,,,,,,bin_5,,,,,,,,,,,,
,,,,,,0.6,0.7,,calibration_bin,0,,,,,,,bin_6,,,,,,,,,,,,
,,,,,,0.7,0.8,,calibration_bin,0,,,,,,,bin_7,,,,,,,,,,,,
,,,,0.6667,0.8,0.8,0.9,,calibration_bin,3,,,,,,,bin_8,,,,,,,,,,,,
,,,,0.8889,0.9111,0.9,1.0,,calibration_bin,9,,,,,,,bin_9,,,,,,,,,,,,
,,,,,,,,,calibration_summary,,,,,,,,judge_logprob_confidence,,,,,0,,,,,,,
