sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity signal, depicting a surreal and impossible scene of a frog floating above a tank. The headline claims this is a 'recently declassified image from project ribbit thunder.' Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and there is no credible evidence of a real-world military project named 'Ribbit Thunder' associated with declassified imagery. The combination of an AI-generated image with a fabricated or misattributed military context constitutes misinformation."
3397,Misinformation,0.95,False,True,"The claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is false. According to multiple reliable sources, including Wikipedia and Caesars Entertainment's official fact sheets, Planet Hollywood Las Vegas is owned and operated by Caesars Entertainment, which is headquartered in Reno, Nevada. The image provided is flagged as AI-generated (confidence 0.8), which further undermines the veracity of the visual context, but the factual error in the headline is definitive. The ownership by a Texas corporation is a fabrication."
ds4717,Not Misinformation,0.85,False,True,"The retrieved evidence confirms that Khloe Kardashian did follow a strict pregnancy diet imposed by Tristan Thompson after she indulged in junk food (specifically mentioned as cookies and ice cream in the headline, supported by evidence of her love for cookies and cream and binge eating struggles). Source [1] from Inquisitr explicitly uses the headline 'Khloe Kardashian Forced By Tristan To Follow ‘Strict’ Pregnancy Diet After Cookies & Ice Cream Binge', confirming the specific narrative. Source [2] from OK Magazine also discusses Tristan putting her on a diet. While the image provided in the module signals is irrelevant (not depicting the subjects), the claim itself is substantiated by multiple news reports. The visual mismatch does not make the textual claim misinformation, but rather in"
4718,Not Misinformation,0.85,False,True,"The headline suggests Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which led to their breakup and the cancellation of their engagement in March 2021 (Evidence [2], [3]). Furthermore, recent reports indicate that Rodriguez reached out to Lopez after his own recent breakup, suggesting ongoing interaction or a potential reconciliation phase, which aligns with the 'break' or 're-evaluation' narrative implied by the headline (Evidence Q3[3]). The image is a genuine photograph of Lopez (visual_veracity: false for AI). The headline is not misleading as it reflects a factual history of their relationship dynamics and current rumors of contact."
ds2101,Not Misinformation,0.9,False,True,"The claim describes a visual scene: 'A table topped with two wine glasses and a centerpiece.' The module signals confirm that the image is relevant (aligned=true, confidence=0.9) and depicts exactly this scene. The visual veracity signal indicates the image is not AI-generated (ai_generated=false). The retrieved evidence supports the general concept of table settings with wine glasses and centerpieces, confirming that such arrangements are common and well-documented in home decor contexts (e.g., Pinterest, MyDomaine, BHG). There is no evidence suggesting the image is fake or the description is misleading. The description is a factual summary of the image content."
5000,Misinformation,0.95,False,True,"The claim that President Obama made a secret deal to hand over U.S. territory to China to settle debt is factually false. Evidence shows that the only significant transfer of territory involving China in recent history was Hong Kong, which was returned by the United Kingdom to China in 1997, long before Obama's presidency. There is no record of any U.S. territory being ceded by the Obama administration to China. While the Obama administration engaged in diplomatic and trade relations with China, including discussions on debt holdings and trade enforcement, no such territorial settlement occurred. The image of the Obamas is unrelated to this fabricated event."
ds4724,,,False,False,PARSE_FAILURE
ds1157,Not Misinformation,0.85,False,True,"The claim describes a person holding a banner during a pope's procession down Fifth Avenue to St. Patrick's Cathedral. Historical evidence confirms that Pope Paul VI visited New York City on October 4, 1965, and 55,000 people lined Fifth Avenue for his arrival at St. Patrick's Cathedral [Evidence 1, 2]. Similarly, Pope Francis traveled down Fifth Avenue on September 24, 2015, to attend evening prayers at St. Patrick's Cathedral [Evidence 1, 2]. While the specific detail of a 'person holding a banner' is not explicitly detailed in the snippets for these specific events, it is a highly plausible and common occurrence during such large-scale public processions involving thousands of supporters. The core factual elements (Pope, Fifth Avenue, St. Patrick's Cathedral, procession) are verified fo"
5013,Misinformation,0.85,False,True,"The headline claims a 'Controversial Dating Revelation Amid Divorce' for Brooke Burke. However, the retrieved evidence and module signals indicate that Brooke Burke is currently engaged to Scott Rigsby and is not currently going through a divorce. While she was previously divorced from David Charvet (finalized years ago), the current news cycle (June 2025) focuses on her engagement and wedding delays with Rigsby, not a new divorce or controversial dating revelations linked to a divorce. The image provided is also flagged as irrelevant to the specific claim, showing generic stage individuals rather than Burke. The headline misrepresents her current relationship status by framing it around a divorce that is not currently happening, constituting misinformation."
ds9980,Misinformation,0.85,False,True,"The image depicts a specific scene of a girl at a displacement camp near a Kurdish checkpoint. Evidence [3] from the first query and Evidence [1] and [2] from the third query confirm that such scenes occurred during the ISIS conflict (circa 2014-2017), specifically referencing the Khazer/Aksi Kalak checkpoint area where displaced families from Mosul settled in fields or camps. However, the module signals and the retrieved evidence for 'family settlement northern Iraq 2023' do not support the claim that this specific image is from 2023 or depicts a recent settlement event. The visual content (clothing, tent style, image quality) and the specific context of 'settling in a field' align with the 2014-2015 refugee crisis coverage (e.g., Daily Mail, NBC News reports from that era). The claim imp"
ds2354,Not Misinformation,0.85,False,True,"The image depicts a large airplane flying low in a cloudy sky. The module signals indicate the image is not AI-generated (visual_veracity.ai_generated=false) and is relevant to the claim. The retrieved evidence supports the plausibility of the scene: planes do fly low due to various factors such as landing approaches, weather conditions (clouds, heat), and specific airport procedures (e.g., LAX beach landings). While the evidence does not confirm a specific viral event matching this exact image, the visual content is physically plausible and consistent with known aviation behaviors. There is no evidence suggesting the image is fake or the claim is false. The claim is a descriptive statement about a visual event, which appears genuine."
ds4,Not Misinformation,0.95,False,True,"The claim states that after the Charlie Hebdo murders, surviving staff left their Paris offices for a temporary home at Liberation newspaper. Evidence from multiple sources confirms this sequence of events. Specifically, ABC News [3] and The Sydney Morning Herald [2] explicitly state that Charlie Hebdo staff 'squatting' or staying in an 'improvised space carved out of the newsroom of Liberation' for more than six months after the January 2015 attack, before moving into new rented offices in September/October 2015. The image provided appears to be a memorial scene, which is consistent with the aftermath of the attacks, though it does not directly depict the office relocation. However, the textual claim regarding the relocation to Liberation is factually supported by the evidence."
8830,Not Misinformation,0.85,False,True,"The claim describes an 'old clock hanging up against the side of a barn'. The retrieved evidence confirms that such images and objects exist. Specifically, Evidence [3] from Unsplash explicitly describes a photo titled 'A barn with a clock on the side of it', showing an old wood barn in Michigan. Additionally, Evidence [2] from WatchUSeek discusses a story about a clock built for a barn in rural Wisconsin. The module signals indicate the image is not AI-generated (visual_veracity ai_generated=false) and while the 'relevancy' signal was low (likely due to the specific visual context not being perfectly matched in the module's internal check or the image being a generic clock rather than the specific Unsplash photo), the existence of the described scenario is factually supported by the evide"
