sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and impossible scene of a frog floating above a tank. According to the definitive rule, if the image is AI-generated, the output must be Misinformation. Furthermore, the claim references 'Project Ribbit Thunder' as a recently declassified military image. Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and there is no credible evidence linking 'Project Ribbit Thunder' to any real-world declassified military operation or imagery. The module signals also note low relevancy (0.1) because the image does not provide context confirming a connection to the headline. The combination of an AI-generated image and a fabricated or misattribute"
3397,Misinformation,0.9,False,True,"The claim is false for two primary reasons. First, the visual evidence indicates the image is AI-generated (ai_generated=true, confidence=0.8). According to the definitive rule, if the image is AI-generated, the output must be Misinformation regardless of other signals. Second, the factual claim is contradicted by the retrieved evidence. Multiple sources (Wikipedia, Caesars Entertainment official pages) confirm that Planet Hollywood Las Vegas is owned and operated by Caesars Entertainment, a company based in Nevada, not a corporation based in Paris, Texas. The module signals also correctly identified the image as AI-generated and noted the lack of evidence for a Texas ownership structure."
ds4717,Not Misinformation,0.9,False,True,"The claim that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge is supported by multiple entertainment news sources retrieved in the evidence. Specifically, Inquisitr and OK Magazine report that Tristan Thompson put Khloe on a strict diet during her pregnancy, citing her indulgence in junk food (cookies and ice cream) as a catalyst. While the term 'forced' is strong, the reports describe it as him putting her on a diet or taking an active role in her dietary choices, which aligns with the headline's narrative of external pressure/control. The image signals indicate the image is not AI-generated, and while the image itself may not depict the specific event, the textual claim is substantiated by the retrieved evidence. The module's 'answers' als"
4718,Not Misinformation,0.9,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break and subsequently broke up in March 2021 after four years together [1, 2]. While the relationship has ended, the core assertion that a 'break' occurred is factually supported by historical records. The module signals correctly identify the image as real (not AI-generated) and note partial alignment because the image is a generic performance shot rather than specific news footage of the breakup. However, since the event described (the break/breakup) is true, the headline is not misinformation. The evidence items [1] and [2] explicitly confirm the breakup, supporting the truthfulness of the claim's premise."
ds2101,Not Misinformation,0.9,False,True,"The claim describes a table topped with two wine glasses and a centerpiece. The module signals indicate the image is not AI-generated (ai_generated=false) and is relevant to the claim. The retrieved evidence confirms that centerpieces are standard table decorations and that wine glasses are commonly used in table settings or even as part of centerpieces (e.g., holding candles). The image content aligns with the textual description provided in the claim. There is no evidence to suggest the image is fabricated or the description is false."
5000,Misinformation,0.9,False,True,"The claim that Obama admitted to a secret deal to hand over U.S. territory to China to settle debt is false. First, the image is not AI-generated (visual_veracity ai_generated=false), so the definitive rule for AI images does not apply, but the content is still demonstrably false. Second, the evidence contradicts the claim: [1] and [3] from the 'U.S. territory handed over' query confirm that Hong Kong was handed over to China in 1997 by the UK, long before Obama's presidency, and it is not U.S. territory. [3] from the 'Obama China debt settlement details' query mentions a 2013 deal regarding Sarbanes-Oxley audits, not a territorial handover. [1] from the 'Obama China debt settlement news' query discusses concerns about China's debt holdings but does not mention any secret deal involving te"
ds4724,Misinformation,0.9,False,True,"The headline claims that George and Amal Clooney are sleeping in separate bedrooms, implying a marital rift or separation. However, the retrieved evidence directly contradicts this specific claim. Evidence item [2] from menzfirst.com explicitly states, 'It’s not accurate that George and Amal sleep in separate rooms due to the actor’s snoring and other bad habits,' noting that they have adapted to each other's quirks over their long marriage. Furthermore, Evidence item [3] from NDTV describes the couple as 'happily married for over a decade' and 'major relationship goals,' while Evidence item [2] from realitytea.com notes that insiders maintain rumors of marital issues 'don’t match reality.' Although there are conflicting reports about general relationship stress or divorce rumors (as noted"
ds1157,Not Misinformation,0.9,False,True,"The claim states that a person holds a banner during the pope's procession down Fifth Avenue to St Patrick's Cathedral. Evidence confirms that Pope Francis traveled down Fifth Avenue to St. Patrick's Cathedral on September 24, 2015 (Evidence [1] from NYT, [2] from LA Times). While the specific image shows a flag/banner of the Pope, the module signals indicate the image is not AI-generated (visual_veracity ai_generated=false). The presence of crowds lining Fifth Avenue for papal visits (55,000 for Paul VI in 1965, thousands for Francis in 2015) makes it highly plausible that individuals held banners or flags during such processions. The evidence supports the core factual elements: a pope processed down Fifth Avenue to St. Patrick's Cathedral. The image depicts a banner/flag of the Pope, whi"
5013,Not Misinformation,0.6,False,True,"The headline claims Brooke Burke has a 'controversial dating revelation amid divorce' that sparks speculation. The retrieved evidence confirms that Brooke Burke is indeed divorced from David Charvet (Evidence [3] from Radar Online, [2] from E! Online) and is currently engaged to Scott Rigsby, with recent news regarding her wedding plans falling through or being delayed (Evidence [1], [2], [3] from Page Six, People, Entertainment Now). While the headline uses sensationalist language ('Shocking Insights', 'Exposed'), the core factual premise—that there is news regarding her dating life in the context of her divorce—is supported by the evidence. The image shows two individuals on a stage, which the module correctly identifies as not specifically depicting Brooke Burke or the specific event, b"
ds9980,Not Misinformation,0.9,False,True,"The image depicts a scene consistent with the widespread media coverage of Iraqi families fleeing Mosul and settling in displacement camps near Kurdish checkpoints (specifically the Khazer/Aksi Kalak area) during the conflict with ISIS (circa 2014-2017). Evidence [3] from the Daily Mail explicitly describes a 'girl stands besides her tent at a temporary displacement camp set up next to a Kurdish checkpoint in Kalak' while Peshmerga check vehicles. Evidence [1] from NBC News and [2] from the Financial Times corroborate the context of Iraqi families crowding fields and checkpoints in the Khazer area. The visual elements (girl, field, checkpoint context) align with these verified reports. The module's visual veracity signal correctly identifies the image as not AI-generated. Although the spec"
